Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Furnished New Apartment At Yonge & Eg","https://www.airbnb.com/rooms/999905311216447233","999905311216447233","0-0","N/A","N/A","0","205","N/A","N/A","None","28","Individual","2.0","4","248","Entire rental unit","Yes","N/A","161","4.27","N/A","No","No","No","Yes","No","No","No","Yes","0.0","N/A","437066393","Flexible"
"A Little Heaven","https://www.airbnb.com/rooms/1254085237893054148","1254085237893054148","0-0","N/A","N/A","0","126","N/A","N/A","None","28","Individual","1.0","1","105","Entire rental unit","Yes","N/A","240","3","2","No","No","No","Yes","No","No","Yes","Yes","4.0","N/A","554706736","Flexible"
"Comfy Cozy And Clean","https://www.airbnb.com/rooms/1069772932450958484","1069772932450958484","0-0","N/A","N/A","0","216","N/A","N/A","None","28","Individual","1.0","2","152","Entire rental unit","Yes","N/A","150","N/A","N/A","No","No","No","Yes","No","No","No","Yes","0.0","N/A","17451259","Moderate"
"Cozy Apartment In Midtown","https://www.airbnb.com/rooms/1063901499256536258","1063901499256536258","0-0","N/A","N/A","0","213","N/A","N/A","None","28","Individual","1.0","2","315","Entire rental unit","Yes","N/A","153","N/A","N/A","No","No","No","Yes","No","No","No","Yes","0.0","N/A","432546305","Firm"
"Amazing Location, Steps Away From Subway & Shops","https://www.airbnb.com/rooms/1022361637289069053","1022361637289069053","0-0","N/A","N/A","0","152","N/A","N/A","None","28","Individual","1.0","2","218","Entire rental unit","Yes","N/A","214","N/A","N/A","No","No","No","Yes","Yes","No","Yes","Yes","0.0","N/A","24866646","Firm"
"Luxury Condo In Yorkville","https://www.airbnb.com/rooms/1460310777205808918","1460310777205808918","0-0","N/A","N/A","0","182","N/A","N/A","None","30","Small","1.5","4","219","Entire rental unit","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","581431026","Flexible"
"Beautiful 1 BDR Yorkville/Annex","https://www.airbnb.com/rooms/801308925302615862","801308925302615862","0-0","N/A","N/A","0","282","N/A","N/A","None","28","Individual","1.0","2","292","Entire home","Yes","N/A","84","3.89","N/A","No","No","No","Yes","No","No","No","Yes","0.0","N/A","10919119","Flexible"
"Nice, Clean 1bdrm Apt In Great Area","https://www.airbnb.com/rooms/10008169","10008169","0-0","N/A","N/A","0","228","N/A","N/A","None","180","Individual","1.0","2","157","Entire rental unit","Yes","N/A","138","N/A","N/A","No","No","No","Yes","No","No","No","Yes","0.0","N/A","24804051","Firm"
"1 Bedroom 1 Bathroom Across George Brown College","https://www.airbnb.com/rooms/909395386227536400","909395386227536400","0-0","N/A","N/A","0","67","N/A","N/A","None","28","Small","1.0","2","123","Entire rental unit","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","73","N/A","393414049","Firm"
"1bdr By George Brown College","https://www.airbnb.com/rooms/969548056844813441","969548056844813441","0-0","N/A","N/A","0","62","N/A","N/A","Low","28","Small","1.0","3","122","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","147","N/A","393414049","Firm"
