Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"3 Beds With Private Washroom And Kitchen","https://www.airbnb.com/rooms/1480734788117488160","1480734788117488160","0-0","N/A","N/A","0","32","N/A","N/A","Low","28","Small","1.0","5","159","Entire rental unit","Yes","N/A","166","3","2","No","No","No","Yes","No","No","No","Yes","N/A","N/A","503111777","Flexible"
"2 BR Basement Apt / Toronto East","https://www.airbnb.com/rooms/1453810601673905148","1453810601673905148","0-0","N/A","N/A","0","42","N/A","N/A","None","28","Individual","1.0","4","121","Entire home","No","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","466415347","Flexible"
"Walk To Bluffs | 2BR Basement","https://www.airbnb.com/rooms/1463810601966982859","1463810601966982859","0-0","N/A","N/A","0","194","N/A","N/A","None","28","Small","1.0","4","102","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","678540028","Flexible"
"Urban Paradise -Wild Herb Garden","https://www.airbnb.com/rooms/1476072760246038678","1476072760246038678","0-0","N/A","N/A","0","103","N/A","N/A","None","28","Small","1.0","3","159","Entire home","Yes","N/A","96","N/A","N/A","No","No","No","Yes","No","No","No","Yes","36","N/A","36750508","Flexible"
"Light-Filled Lux Basement Suite","https://www.airbnb.com/rooms/1541484563066728991","1541484563066728991","0-0","N/A","N/A","0","139","N/A","N/A","None","29","Small","1.0","4","131","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","No","N/A","N/A","2466124","Flexible"
"House, 3Beds,2Bath,4to5 Guests","https://www.airbnb.com/rooms/18457960","18457960","0-0","N/A","N/A","0","206","N/A","N/A","None","29","Small","1.0","5","200","Entire bungalow","Yes","N/A","160","4.81","109","No","No","No","Yes","No","No","No","Yes","21","N/A","127980028","Moderate"
"Full Walkout Basement","https://www.airbnb.com/rooms/25778999","25778999","0-0","N/A","N/A","0","243","N/A","N/A","None","28","Individual","2.0","4","130","Entire guest suite","Yes","N/A","123","4.8","30","No","No","No","Yes","No","No","No","Yes","36","N/A","158449273","Flexible"
"Stunning 2story Townhouse Condo","https://www.airbnb.com/rooms/1187736407979998649","1187736407979998649","0-0","N/A","N/A","0","134","N/A","N/A","None","28","Individual","2.5","4","281","Entire rental unit","Yes","N/A","68","N/A","N/A","No","No","No","Yes","No","No","No","Yes","74","N/A","583667461","Flexible"
"Luxurious Condo For You!","https://www.airbnb.com/rooms/1624950084976728257","1624950084976728257","0-0","N/A","N/A","0","36","N/A","N/A","None","180","Small","1.0","4","200","Entire rental unit","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","432787698","Flexible"
"Spacious 2 Bedroom Apartment","https://www.airbnb.com/rooms/1085745178485464087","1085745178485464087","0-0","N/A","N/A","0","253","N/A","N/A","None","28","Individual","1.0","5","199","Entire rental unit","Yes","N/A","113","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","29","N/A","49731816","Flexible"
"30 Minutes To Downtown Toronto.","https://www.airbnb.com/rooms/944953997458479478","944953997458479478","0-0","N/A","N/A","0","205","N/A","N/A","None","28","Individual","1.0","4","199","Entire rental unit","Yes","N/A","161","4","5","No","No","No","Yes","No","No","No","No","N/A","N/A","525151807","Firm"
"Welcome Your Modern Basement Home!","https://www.airbnb.com/rooms/1503240309956195111","1503240309956195111","0-0","N/A","N/A","0","198","N/A","N/A","None","28","Individual","1.0","4","135","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","79474911","Flexible"
"Modern Living Meets Natural Serenity","https://www.airbnb.com/rooms/1626957439660781606","1626957439660781606","0-0","N/A","N/A","0","35","N/A","N/A","None","28","Individual","1.0","6","166","Entire rental unit","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","747683679","Flexible"
"Modern 2-bedroom Home On A Main Floor","https://www.airbnb.com/rooms/1084384065546554309","1084384065546554309","0-0","N/A","N/A","0","117","N/A","N/A","None","28","Individual","1.0","4","250","Entire home","Yes","N/A","189","5","21","No","No","No","Yes","No","No","No","Yes","57","1","560416655","Moderate"
"Lovely,newly Renovated Apartment","https://www.airbnb.com/rooms/1106780068236879491","1106780068236879491","0-0","N/A","N/A","0","60","N/A","N/A","None","28","Individual","1.5","4","249","Entire rental unit","Yes","N/A","306","N/A","N/A","No","No","No","No","No","No","No","Yes","N/A","N/A","565785312","Flexible"
"2 Bed + Den /2 Bath Condo W Parking & Near Hwy 401","https://www.airbnb.com/rooms/1594609068520528656","1594609068520528656","0-0","N/A","N/A","0","26","N/A","N/A","None","28","Individual","2.0","5","128","Entire rental unit","No","N/A","15","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","686333118","Flexible"
"Brand New 2BR | 20 Min To BMO/World Cup | Sleeps 4","https://www.airbnb.com/rooms/1567796467350575996","1567796467350575996","0-0","N/A","N/A","0","21","N/A","N/A","Moderate","28","Moderate","1.5","4","110","Entire rental unit","Yes","N/A","87","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","94278208","Firm"
"Stylish Private Stay | Bright, Clean & Peaceful","https://www.airbnb.com/rooms/1592361244012212375","1592361244012212375","0-0","N/A","N/A","0","40","N/A","N/A","None","28","Individual","1.0","4","221","Entire bungalow","Yes","N/A","39","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","3707612","Moderate"
"2 Bedrooms Apt Seperate Entrance","https://www.airbnb.com/rooms/1031453308468369159","1031453308468369159","0-0","N/A","N/A","0","65","N/A","N/A","None","1","Moderate","1.0","5","164","Entire home","No","N/A","50","3.9","N/A","No","No","No","Yes","No","No","No","Yes","75","N/A","540041501","Firm"
