Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Cozy Upper Mulcaster Unit","https://www.airbnb.com/rooms/629899665719622853","629899665719622853","0-0","N/A","N/A","0","45","N/A","N/A","Low","1","Large","1.0","8","118","Entire home","No","N/A","N/A","4.4","15","No","Yes","No","Yes","No","No","No","Yes","59","N/A","135139645","Strict"
"Modern 2BR + Den Condo At Friday
Harbour –","https://www.airbnb.com/rooms/1568253586241110262","1568253586241110262","0-0","N/A","N/A","0","66","N/A","N/A","Low","1","Individual","2.0","6","378","Entire rental unit","Yes","N/A","6","5","4","No","No","No","Yes","No","No","No","Yes","N/A","N/A","159623727","Flexible"
"Stunning Simcoe Getaway","https://www.airbnb.com/rooms/1469526532978182993","1469526532978182993","0-0","N/A","N/A","0","46","N/A","N/A","Unknown","7","Unknown","1.5","6","416","Entire home","No","N/A","2","4.75","8","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","282917179","Moderate"
"Cozy Lake Simcoe Family Getaway","https://www.airbnb.com/rooms/1150256583650152655","1150256583650152655","0-0","N/A","N/A","0","61","N/A","N/A","None","2","Individual","1.0","9","298","Entire cottage","Yes","N/A","301","N/A","N/A","No","No","No","Yes","No","No","No","Yes","127","N/A","576010137","Firm"
"Liams Lake Simcoe Cottage","https://www.airbnb.com/rooms/49931646","49931646","0-0","N/A","N/A","0","196","N/A","N/A","None","7","Individual","1.0","6","285","Entire cottage","Yes","N/A","170","4.25","4","Yes","No","No","Yes","No","No","No","No","N/A","N/A","389526926","Firm"
"Upper Unit Near Georgian Mall","https://www.airbnb.com/rooms/1361087022499017062","1361087022499017062","0-0","N/A","N/A","0","28","N/A","N/A","Unknown","1","Unknown","1.0","6","118","Entire home","No","N/A","5","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","135139645","Firm"
"Spacious And Serene 4-Bedroom Retreat In Barrie","https://www.airbnb.com/rooms/1131178651423340895","1131178651423340895","0-0","N/A","N/A","0","265","N/A","N/A","None","1","Individual","2.5","6","328","Entire home","Yes","N/A","101","4.8","5","No","No","No","Yes","No","No","No","Yes","71","N/A","571436874","Moderate"
"Peaceful Home Away From Home","https://www.airbnb.com/rooms/1471758252979422350","1471758252979422350","0-0","N/A","N/A","0","157","N/A","N/A","None","7","Individual","2.5","4","166","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","217417924","Flexible"
"Allandale Heights Gem","https://www.airbnb.com/rooms/1263008993496149585","1263008993496149585","0-0","N/A","N/A","0","79","N/A","N/A","None","60","Individual","1.5","6","121","Entire home","No","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","83602575","Flexible"
"5 Star - 3 Bedroom Suite","https://www.airbnb.com/rooms/541887454718646363","541887454718646363","0-0","N/A","N/A","0","213","N/A","N/A","None","2","Individual","2.0","6","374","Entire guest suite","Yes","N/A","153","N/A","N/A","No","No","No","Yes","No","No","No","Yes","57","N/A","104965722","Flexible"
"Chalet By The Beach","https://www.airbnb.com/rooms/965879354375930776","965879354375930776","0-0","N/A","N/A","0","247","N/A","N/A","None","5","Individual","2.0","6","242","Entire home","Yes","N/A","119","N/A","N/A","No","No","No","Yes","No","Yes","No","No","107","N/A","532919633","Firm"
"Long-Term Stay In Innisfil Beach","https://www.airbnb.com/rooms/1455992353059784886","1455992353059784886","0-0","N/A","N/A","0","22","N/A","N/A","None","28","Small","1.0","8","168","Entire home","Yes","N/A","135","5","1","No","No","No","Yes","No","Yes","No","No","143","N/A","73782993","Moderate"
"La Casita Bonita","https://www.airbnb.com/rooms/1282816943191831496","1282816943191831496","129-174","155","155.28","4","23","N/A","1","None","1","Individual","2.5","6","183","Entire home","No","Midscale","189","4.92","13","No","No","No","Yes","No","Yes","No","Yes","86","N/A","465277513","Flexible"
"Nature Lovers Paradise","https://www.airbnb.com/rooms/45085957","45085957","191-291","242","241.85","1","151","13","1","None","1","Small","1.5","6","295","Entire home","Yes","Midscale","95","5","2","No","No","No","Yes","No","No","No","Yes","63","N/A","29801110","Moderate"
