Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Large House With Gym & Sauna","https://www.airbnb.com/rooms/1487118521344601942","1487118521344601942","0-0","N/A","N/A","0","25","N/A","N/A","None","31","Small","4.5","8","498","Entire home","Yes","N/A","129","5","5","No","No","No","Yes","No","Yes","No","Yes","228","1","488934005","Moderate"
"Ultra Luxurious Downtown","https://www.airbnb.com/rooms/966498840814570445","966498840814570445","0-0","N/A","N/A","0","26","N/A","N/A","None","30","Individual","3.5","8","345","Entire home","Yes","N/A","279","5","1","No","No","No","Yes","No","No","No","Yes","196","N/A","533890008","Firm"
"4 Bedroom/2 Bath Home In South Etobicoke","https://www.airbnb.com/rooms/1267493038630890510","1267493038630890510","0-0","N/A","N/A","0","73","N/A","N/A","None","28","Individual","2.0","8","218","Entire home","Yes","N/A","293","N/A","N/A","No","No","No","Yes","No","No","No","Yes","142","N/A","539414968","Firm"
"Large Home With Pool","https://www.airbnb.com/rooms/1092142079652350055","1092142079652350055","0-0","N/A","N/A","0","110","N/A","N/A","None","30","Small","3.5","7","499","Entire home","Yes","N/A","98","5","N/A","No","No","No","Yes","Yes","Yes","No","Yes","286","N/A","158558575","Firm"
"Modern Home In A Family Community","https://www.airbnb.com/rooms/1582939641766332095","1582939641766332095","0-0","N/A","N/A","0","27","N/A","N/A","High","3","Individual","2.5","8","352","Entire home","Yes","N/A","34","N/A","N/A","No","No","Yes","Yes","No","No","No","Yes","N/A","N/A","79105464","Firm"
"Luxury Retreat In The City","https://www.airbnb.com/rooms/1308327166862999428","1308327166862999428","0-0","N/A","N/A","0","42","N/A","N/A","None","1","Individual","3.5","10","805","Entire home","No","N/A","4","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","104855676","Flexible"
"Converted Industrial Loft Space","https://www.airbnb.com/rooms/1237922595986709288","1237922595986709288","0-0","N/A","N/A","0","294","N/A","N/A","None","28","Individual","3.0","8","773","Entire rental unit","Yes","N/A","72","N/A","N/A","No","No","No","Yes","No","No","No","Yes","109","N/A","650078846","Flexible"
"Clean Posh And Upscale Livings","https://www.airbnb.com/rooms/1419703125651894827","1419703125651894827","0-0","N/A","N/A","0","290","N/A","N/A","None","1","Individual","3.5","12","1112","Entire home","Yes","N/A","26","1","1","No","No","No","Yes","No","Yes","No","Yes","78","N/A","693446748","Flexible"
"Beautiful Home In Mississauga","https://www.airbnb.com/rooms/1421846845904535107","1421846845904535107","0-0","N/A","N/A","0","106","N/A","N/A","Low","3","Individual","3.0","10","311","Entire home","Yes","N/A","175","5","1","No","No","No","Yes","No","Yes","No","Yes","71","N/A","693944527","Flexible"
"Full 4-bedroom Basement Unit Near YYZ","https://www.airbnb.com/rooms/1451802543877551585","1451802543877551585","0-0","N/A","N/A","0","104","N/A","N/A","Low","2","Small","2.5","8","333","Entire home","No","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","572883787","Flexible"
"Beautiful House For Family For Long Term Stay","https://www.airbnb.com/rooms/1546698730343453560","1546698730343453560","0-0","N/A","N/A","0","117","N/A","N/A","None","25","Individual","3.5","7","318","Entire home","Yes","N/A","N/A","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","38972026","Flexible"
"Cloud Nine On The Bay - Waterline Penthouse","https://www.airbnb.com/rooms/1551863623610057810","1551863623610057810","0-0","N/A","N/A","0","130","N/A","N/A","None","28","Small","3.5","6","993","Entire rental unit","Yes","N/A","4","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","714771338","Flexible"
"Ultra-Modern Smart Home Retreat – Luxury Escape","https://www.airbnb.com/rooms/1567505633049398004","1567505633049398004","0-0","N/A","N/A","0","72","N/A","N/A","Low","3","Individual","3.0","8","889","Entire home","Yes","N/A","31","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","410325693","Flexible"
