Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Create Memories @Airbnb 6 Bed 3.5 Bath 12 Capacity","https://www.airbnb.com/rooms/1599429871725946670","1599429871725946670","0-0","N/A","N/A","0","40","N/A","N/A","None","1","Moderate","3.5","12","1000","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","487207750","Flexible"
"Beautiful House For Family For Long Term Stay","https://www.airbnb.com/rooms/1546698730343453560","1546698730343453560","0-0","N/A","N/A","0","96","N/A","N/A","None","25","Individual","3.5","7","312","Entire home","Yes","N/A","N/A","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","38972026","Flexible"
"Comfy Airbnb 6 Beds 3.5 Baths 12 Sleeping Capacity","https://www.airbnb.com/rooms/1599335840847524406","1599335840847524406","0-0","N/A","N/A","0","39","N/A","N/A","None","1","Moderate","3.5","12","500","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","487207750","Firm"
"The Royal Cove Villa | 4500 Sqft Of Luxury Living","https://www.airbnb.com/rooms/1579043312986162356","1579043312986162356","0-0","N/A","N/A","0","64","N/A","N/A","None","29","Small","4.5","12","448","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","Yes","Yes","No","No","No","Yes","N/A","N/A","734725591","Flexible"
"Big House For Your Vacation","https://www.airbnb.com/rooms/1321042425499717095","1321042425499717095","0-0","N/A","N/A","0","118","N/A","N/A","Low","3","Individual","3.0","11","394","Entire home","No","N/A","N/A","3","1","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","669087633","Flexible"
"Welcoming Travel Schedule House!","https://www.airbnb.com/rooms/935121184256067874","935121184256067874","0-0","N/A","N/A","0","146","N/A","N/A","None","1","Moderate","3.5","16","793","Entire condo","No","N/A","105","N/A","N/A","No","No","No","Yes","No","No","No","Yes","72","N/A","487207750","Flexible"
"Welcoming House For Your Stay!","https://www.airbnb.com/rooms/935114008599950190","935114008599950190","0-0","N/A","N/A","0","223","N/A","N/A","None","1","Moderate","3.5","16","546","Entire condo","Yes","N/A","143","4","2","No","No","No","Yes","No","No","No","Yes","71","N/A","487207750","Firm"
"Love Airbnb Come Again & Again With Your Friends!","https://www.airbnb.com/rooms/1599456633836039483","1599456633836039483","0-0","N/A","N/A","0","40","N/A","N/A","None","1","Moderate","3.5","12","511","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","487207750","Flexible"
"Clean Posh And Upscale Livings","https://www.airbnb.com/rooms/1419703125651894827","1419703125651894827","0-0","N/A","N/A","0","269","N/A","N/A","None","1","Individual","3.5","12","1089","Entire home","Yes","N/A","26","1","1","No","No","No","Yes","No","Yes","No","Yes","78","N/A","693446748","Flexible"
"Custom Build House Large Rooms","https://www.airbnb.com/rooms/1039349244594787258","1039349244594787258","0-0","N/A","N/A","0","141","N/A","N/A","None","2","Individual","4.0","6","582","Entire home","Yes","N/A","225","4.33","9","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","549502864","Flexible"
"Mississauga Home On The Credit River","https://www.airbnb.com/rooms/1602553909794514253","1602553909794514253","0-0","N/A","N/A","0","20","N/A","N/A","None","2","Individual","2.5","10","310","Entire home","Yes","N/A","20","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","298195865","Flexible"
"2025X7 Perfect 4 Family & Groups","https://www.airbnb.com/rooms/1383251502010122748","1383251502010122748","0-0","N/A","N/A","0","283","N/A","N/A","None","1","Moderate","3.5","12","992","Entire home","Yes","N/A","31","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","487207750","Firm"
"2025X6 Time To Plan Ahead YrTrip! Book Early Save","https://www.airbnb.com/rooms/1383243824429551914","1383243824429551914","0-0","N/A","N/A","0","290","N/A","N/A","None","1","Moderate","3.5","12","497","Entire home","Yes","N/A","25","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","487207750","Firm"
"A House In Quite Area","https://www.airbnb.com/rooms/1240651960594811931","1240651960594811931","0-0","N/A","N/A","0","78","N/A","N/A","None","1","Individual","3.5","8","835","Entire home","No","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","650757632","Flexible"
"Ultra Luxurious Downtown","https://www.airbnb.com/rooms/966498840814570445","966498840814570445","0-0","N/A","N/A","0","26","N/A","N/A","None","30","Individual","3.5","8","338","Entire home","Yes","N/A","279","5","1","No","No","No","Yes","No","No","No","Yes","196","N/A","533890008","Firm"
"Enjoy The Ecofriendly Place","https://www.airbnb.com/rooms/1607587213918194269","1607587213918194269","0-0","N/A","N/A","0","40","N/A","N/A","None","1","Individual","2.0","8","1202","Entire home","Yes","N/A","N/A","N/A","N/A","No","Yes","No","Yes","Yes","No","No","Yes","N/A","N/A","468168353","Flexible"
"Fields & Sunsets","https://www.airbnb.com/rooms/924761426011313168","924761426011313168","0-0","N/A","N/A","0","143","N/A","N/A","None","3","Individual","3.5","10","913","Entire home","Yes","N/A","26","4.8","5","No","No","No","Yes","No","No","No","Yes","356","N/A","337318007","Flexible"
"Forest House Lodge Type Spacious","https://www.airbnb.com/rooms/1336817178195029324","1336817178195029324","0-0","N/A","N/A","0","170","N/A","N/A","None","29","Individual","2.0","12","361","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","No","N/A","N/A","565988160","Flexible"
"Detached House For Rent 4 Bedrm","https://www.airbnb.com/rooms/1087898264970628753","1087898264970628753","0-0","N/A","N/A","0","165","N/A","N/A","None","1","Individual","2.0","4","443","Entire home","No","N/A","101","N/A","N/A","No","No","No","No","No","Yes","No","No","71","N/A","551303268","Flexible"
"Relaxing Airbnb 6 Beds 3.5 Baths 12 Ppl Capacity","https://www.airbnb.com/rooms/1599420826303252395","1599420826303252395","0-0","N/A","N/A","0","39","N/A","N/A","None","1","Moderate","3.5","12","349","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","487207750","Firm"
"Spacious 4-Bdrm Furnished Home","https://www.airbnb.com/rooms/1328317631192563232","1328317631192563232","0-0","N/A","N/A","0","100","N/A","N/A","None","1","Individual","4.0","8","294","Entire home","No","N/A","2","N/A","N/A","No","Yes","No","Yes","No","Yes","Yes","Yes","N/A","N/A","671211880","Flexible"
"Cozy Airbnb 6 Bedrooms, 3.5 Bath, 12 People Sleep","https://www.airbnb.com/rooms/1599367565328992639","1599367565328992639","0-0","N/A","N/A","0","39","N/A","N/A","None","1","Moderate","3.5","12","599","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","487207750","Firm"
"Beautiful Home In Mississauga","https://www.airbnb.com/rooms/1421846845904535107","1421846845904535107","0-0","N/A","N/A","0","91","N/A","N/A","Low","3","Individual","3.0","10","304","Entire home","Yes","N/A","169","5","1","No","No","No","Yes","No","Yes","No","Yes","71","N/A","693944527","Flexible"
"Luxury 6BD 4BA Bramp/Miss”","https://www.airbnb.com/rooms/1022624971594173512","1022624971594173512","0-0","N/A","N/A","0","204","N/A","N/A","Low","30","Small","3.5","10","490","Entire home","Yes","N/A","162","4.88","N/A","No","No","No","Yes","No","No","No","Yes","214","N/A","117465583","Flexible"
"Modern Home In Mississauga, Close To Airport","https://www.airbnb.com/rooms/1578585169630543424","1578585169630543424","0-0","N/A","N/A","0","67","N/A","N/A","None","2","Small","2.5","10","523","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","734631258","Flexible"
"The Beachwood Nest","https://www.airbnb.com/rooms/1582244568182313296","1582244568182313296","0-0","N/A","N/A","0","68","N/A","N/A","None","1","Individual","3.5","8","550","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","735280558","Flexible"
"Modern House","https://www.airbnb.com/rooms/1342947828173911128","1342947828173911128","0-0","N/A","N/A","0","53","N/A","N/A","None","1","Individual","4.0","7","284","Entire home","No","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","675374867","Flexible"
"Modern New Detach Pvt. 4 Bedrooms Beautiful House","https://www.airbnb.com/rooms/1585562663110305347","1585562663110305347","0-0","N/A","N/A","0","68","N/A","N/A","None","28","Small","2.5","8","170","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","719566831","Moderate"
"202610 Retreat Relax Rewind Fun!","https://www.airbnb.com/rooms/1481314006544991646","1481314006544991646","0-0","N/A","N/A","0","173","N/A","N/A","None","1","Moderate","3.5","12","786","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","487207750","Firm"
"20221 Lovely Home Away From Home!","https://www.airbnb.com/rooms/1481341364558137276","1481341364558137276","0-0","N/A","N/A","0","173","N/A","N/A","None","1","Moderate","3.5","12","786","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","487207750","Firm"
"Luxury Home In Prime Location","https://www.airbnb.com/rooms/1482583583953825864","1482583583953825864","0-0","N/A","N/A","0","170","N/A","N/A","None","1","Small","4.5","8","1329","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","356","N/A","711548185","Flexible"
"Central Detached 3 Bedroom House +inlaw Suite","https://www.airbnb.com/rooms/51712008","51712008","0-0","N/A","N/A","0","40","N/A","N/A","None","31","Moderate","2.5","6","207","Entire home","Yes","N/A","326","4.79","N/A","No","No","No","No","No","No","No","Yes","N/A","N/A","160578755","Firm"
"A Beautiful House","https://www.airbnb.com/rooms/1482815986996940767","1482815986996940767","0-0","N/A","N/A","0","170","N/A","N/A","None","2","Individual","2.5","4","1093","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","230486690","Limited"
"Group Getaway | 6BR 3.5BA House, Parking, Backyard","https://www.airbnb.com/rooms/1500816417503915110","1500816417503915110","0-0","N/A","N/A","0","173","N/A","N/A","None","1","Moderate","3.5","12","490","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","487207750","Firm"
"Fully Renovated Main Floor 2 Story House","https://www.airbnb.com/rooms/795620758823603227","795620758823603227","0-0","N/A","N/A","0","106","N/A","N/A","None","28","Small","1.5","8","297","Entire home","Yes","N/A","137","5","N/A","No","No","No","Yes","No","No","No","Yes","357","N/A","92124221","Strict"
"You Summer Gateway Awaits","https://www.airbnb.com/rooms/1573323730083536384","1573323730083536384","0-0","N/A","N/A","0","36","N/A","N/A","None","30","Individual","2.5","4","149","Entire home","Yes","N/A","46","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","14592810","Flexible"
"Splendid Airbnb 6 Bedrooms 4 Bathrooms 12 Persons","https://www.airbnb.com/rooms/1599450615462347760","1599450615462347760","0-0","N/A","N/A","0","40","N/A","N/A","None","1","Moderate","3.5","12","599","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","487207750","Firm"
"Happy House","https://www.airbnb.com/rooms/1511820710513405896","1511820710513405896","0-0","N/A","N/A","0","123","N/A","N/A","None","1","Individual","3.0","1","199","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","364094239","Flexible"
"Prime Location Near Airport.","https://www.airbnb.com/rooms/1532635948794676511","1532635948794676511","0-0","N/A","N/A","0","54","N/A","N/A","None","2","Individual","4.5","5","300","Entire home","Yes","N/A","57","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","289729901","Flexible"
"Stylish 4-Bed Family Home In Heart Of Brampton","https://www.airbnb.com/rooms/1537669446662404739","1537669446662404739","0-0","N/A","N/A","0","118","N/A","N/A","None","1","Individual","2.5","12","996","Entire home","Yes","N/A","12","N/A","N/A","No","Yes","No","Yes","No","No","No","Yes","N/A","N/A","331092660","Flexible"
"Family-Friendly Home-Central Location-Near Airport","https://www.airbnb.com/rooms/1523466103418793345","1523466103418793345","0-0","N/A","N/A","0","61","N/A","N/A","None","1","Individual","2.0","10","241","Entire home","Yes","N/A","69","3","1","No","No","No","Yes","No","Yes","No","Yes","57","N/A","500660145","Moderate"
"Vacation Home With Pool","https://www.airbnb.com/rooms/1477904899290321887","1477904899290321887","0-0","N/A","N/A","0","34","N/A","N/A","Unknown","1","Unknown","3.0","10","586","Entire home","No","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","No","215","N/A","409179768","Moderate"
"Beautiful Town House For Rent","https://www.airbnb.com/rooms/1173515372056701771","1173515372056701771","0-0","N/A","N/A","0","34","N/A","N/A","None","1","Individual","2.5","6","230","Entire home","No","N/A","18","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","582009588","Flexible"
"MASSIVE BACKYARD WITH DETACHED LUXURY HOME 🏡","https://www.airbnb.com/rooms/620542110196207392","620542110196207392","0-0","N/A","N/A","0","33","N/A","N/A","None","1","Small","2.5","10","546","Entire home","Yes","N/A","333","4.93","15","No","No","No","Yes","No","Yes","No","Yes","107","N/A","228881432","Flexible"
"26 Big 6BR Family Home Wd Comfort & Space BOOK NOW","https://www.airbnb.com/rooms/1559392348902303447","1559392348902303447","0-0","N/A","N/A","0","96","N/A","N/A","None","1","Moderate","3.5","12","798","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","487207750","Firm"
"Urban Elegance By Austic Homes","https://www.airbnb.com/rooms/1598996428256754155","1598996428256754155","0-0","N/A","N/A","0","39","N/A","N/A","High","2","Small","2.5","7","226","Entire home","Yes","N/A","N/A","5","1","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","402981238","Firm"
"Benjamin Home Mississauga, ON.","https://www.airbnb.com/rooms/1168171508088911179","1168171508088911179","0-0","N/A","N/A","0","206","N/A","N/A","None","1","Individual","2.5","8","662","Entire home","Yes","N/A","160","N/A","N/A","No","No","No","Yes","No","No","No","Yes","142","N/A","580570820","Flexible"
"26 Elegant 6BR Home • 3.5 Bath • Spacious BOOK NOW","https://www.airbnb.com/rooms/1559387793299234160","1559387793299234160","0-0","N/A","N/A","0","96","N/A","N/A","None","1","Moderate","3.5","12","794","Entire home","Yes","N/A","N/A","N/A","N/A","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","487207750","Firm"
