Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Family & Friends Haven House","https://www.airbnb.com/rooms/1327946995720366401","1327946995720366401","0-0","0","N/A","0","37","N/A","N/A","None","28","Individual","5.5","8","605","Entire home","Yes","N/A","159","N/A","0","No","Yes","Yes","Yes","No","Yes","No","Yes","357","0","84384950","Flexible"
"20% Off 4 Bedroom Close To Hwy 401,404,DVP & STC","https://www.airbnb.com/rooms/1464208311218305180","1464208311218305180","0-0","0","N/A","0","37","N/A","N/A","Low","28","Individual","2.0","8","235","Entire home","Yes","N/A","33","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","707003979","Limited"
"Swanky 4 Bed, 3 Bath, Sanctuary","https://www.airbnb.com/rooms/1541456529468602022","1541456529468602022","0-0","0","N/A","0","36","N/A","N/A","None","29","Small","3.0","6","327","Entire home","Yes","N/A","18","N/A","0","No","No","No","Yes","No","Yes","No","Yes","N/A","0","2466124","Flexible"
"4 Bedroom 4 Bathroom House In The Heart Of Toronto","https://www.airbnb.com/rooms/1542055683168224494","1542055683168224494","0-0","0","N/A","0","54","N/A","N/A","None","28","Individual","3.5","9","196","Entire home","Yes","N/A","0","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","179661034","Flexible"
"4BR Private Townhouse Escape By CityZen-Hideaway","https://www.airbnb.com/rooms/1093634844983166078","1093634844983166078","0-0","0","N/A","0","233","N/A","N/A","Moderate","28","Small","3.5","7","275","Entire home","Yes","N/A","133","0","0","No","No","No","Yes","No","Yes","No","Yes","0","0","546572681","Flexible"
"An Entire House On A Crescent","https://www.airbnb.com/rooms/1544986318146790037","1544986318146790037","0-0","0","N/A","0","23","N/A","N/A","Low","2","Individual","2.0","12","451","Entire home","Yes","N/A","9","5","1","No","No","No","Yes","No","Yes","No","Yes","N/A","0","63078717","Firm"
"Spacious, Bright East End 4 Bedroom","https://www.airbnb.com/rooms/5550758","5550758","0-0","0","N/A","0","237","N/A","N/A","None","28","Individual","4.0","6","350","Entire home","Yes","N/A","129","4.9","10","No","No","No","Yes","No","No","No","Yes","86","0","28780700","Firm"
"Stunning 5 Bedroom House In Pickering ON","https://www.airbnb.com/rooms/47372726","47372726","0-0","0","N/A","0","366","N/A","N/A","None","30","Small","5.0","5","296","Entire home","Yes","N/A","0","4.23","0","No","No","No","Yes","No","No","No","Yes","215","0","167840209","Flexible"
"Guest Suite In Pickering","https://www.airbnb.com/rooms/1164425318179758564","1164425318179758564","0-0","0","N/A","0","115","N/A","N/A","None","1","Individual","2.5","4","151","Entire home","No","N/A","79","0","0","No","No","No","Yes","No","No","No","Yes","22","0","335419505","Moderate"
"5-Br 2-Bath, 2 Fridges, Laundry, TTC Subway","https://www.airbnb.com/rooms/1441374390269387717","1441374390269387717","0-0","0","N/A","0","158","N/A","N/A","None","28","Moderate","2.0","8","447","Entire home","Yes","N/A","39","N/A","0","No","No","No","Yes","No","Yes","No","Yes","N/A","0","467487096","Flexible"
"Student Friendly 5BR Home Near Trail And Bus Stop","https://www.airbnb.com/rooms/1469640931171407276","1469640931171407276","0-0","0","N/A","0","104","N/A","N/A","None","28","Large","2.5","10","220","Entire home","Yes","N/A","0","N/A","0","No","No","No","Yes","No","No","No","Yes","143","0","651601904","Firm"
