Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Gigantic 2 Bedroom Bay St. Condo 2 Large Balconies","https://www.airbnb.com/rooms/629555087310668919","629555087310668919","0-0","0","N/A","0","115","N/A","N/A","None","28","Moderate","2.0","6","341","Entire condo","No","N/A","9","5","1","No","Yes","No","Yes","Yes","Yes","No","Yes","157","0","55442","Flexible"
"Spacious Apartment With The Best Central Location","https://www.airbnb.com/rooms/587678953669441951","587678953669441951","0-0","0","N/A","0","176","N/A","N/A","None","28","Individual","1.0","4","266","Entire rental unit","Yes","N/A","102","4.56","9","No","No","No","Yes","No","Yes","No","Yes","21.0","0","378509934","Moderate"
"2BR@Heart Of Downtown (>100Mbps) 28D","https://www.airbnb.com/rooms/19965899","19965899","0-0","0","N/A","0","50","N/A","N/A","None","1","Small","1.0","3","106","Entire condo","No","N/A","112","5","13","No","No","No","Yes","Yes","No","No","Yes","72.0","0","4471409","Strict"
"Skyline Serenity: CN Tower-Facing Oasis","https://www.airbnb.com/rooms/1110070990894905971","1110070990894905971","0-0","0","N/A","0","219","N/A","N/A","None","28","Individual","2.0","4","592","Entire rental unit","Yes","N/A","147","N/A","0","No","Yes","No","Yes","No","No","No","Yes","100.0","0","564011792","Firm"
"Stylish Condo Near Eaton Centre","https://www.airbnb.com/rooms/1139973535234253337","1139973535234253337","0-0","0","N/A","0","44","N/A","N/A","None","28","Small","1.0","4","377","Entire rental unit","No","N/A","0","4.91","11","No","No","No","Yes","No","No","No","Yes","58","0","548007550","Strict"
"Furnished 2 Bed, 2 Bath In Prime Downtown Location","https://www.airbnb.com/rooms/49028735","49028735","0-0","0","N/A","0","67","N/A","N/A","None","180","Individual","2.0","3","114","Entire condo","Yes","N/A","299","4.67","0","No","No","No","Yes","No","No","No","Yes","0.0","0","19638124","Flexible"
"In The Heart Of Downtown Toronto","https://www.airbnb.com/rooms/19036029","19036029","0-0","0","N/A","0","38","N/A","N/A","None","28","Small","2.0","6","297","Entire rental unit","Yes","N/A","328","4.8","5","Yes","No","No","Yes","No","No","No","Yes","108.0","0","15779976","Firm"
"Modern/Luxury 2 Bdr Condo Near College/Yonge","https://www.airbnb.com/rooms/958355713858259588","958355713858259588","0-0","0","N/A","0","366","N/A","N/A","None","28","Individual","2.0","6","294","Entire condo","Yes","N/A","0","4.48","23","No","Yes","No","Yes","Yes","No","No","Yes","86.0","0","531520184","Moderate"
"New Modern 2 Bed 2 Bath Downtown","https://www.airbnb.com/rooms/1226779940878956959","1226779940878956959","0-0","0","N/A","0","229","N/A","N/A","None","28","Individual","2.0","4","273","Entire rental unit","Yes","N/A","137","N/A","0","No","No","No","Yes","No","No","No","Yes","0.0","0","118382388","Flexible"
"Two Bedroom Apartment, Front St","https://www.airbnb.com/rooms/1217547345096619870","1217547345096619870","0-0","0","N/A","0","366","N/A","N/A","None","30","Small","2.0","4","637","Entire rental unit","Yes","N/A","0","5","0","No","Yes","No","Yes","Yes","No","No","Yes","214.0","0","544126912","Firm"
"1100 Sq Luxury Condo With Amazing Location","https://www.airbnb.com/rooms/1244900549095973241","1244900549095973241","0-0","0","N/A","0","61","N/A","N/A","None","28","Small","1.0","4","150","Entire rental unit","No","N/A","25","0","0","No","No","No","Yes","No","No","No","Yes","N/A","0","651832082","Flexible"
"Exec 2 Bed 1 Bath | 1 Parking Included! | Downtown","https://www.airbnb.com/rooms/1533386036352565609","1533386036352565609","0-0","0","N/A","0","64","N/A","N/A","Low","30","Moderate","1.0","4","184","Entire rental unit","Yes","N/A","10","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","37514178","Flexible"
"Condo In Core Downtown Toronto!","https://www.airbnb.com/rooms/1303483082943160621","1303483082943160621","0-0","0","N/A","0","108","N/A","N/A","None","1","Individual","1.0","3","475","Entire home","No","N/A","0","N/A","0","No","No","No","No","No","No","No","No","0.0","0","665178912","Flexible"
"Giant 2 Bedroom 2 Bath On A HIGH FLOOR W. BALCONY","https://www.airbnb.com/rooms/50225473","50225473","0-0","0","N/A","0","120","N/A","N/A","None","28","Moderate","2.0","6","284","Entire condo","No","N/A","3","5","1","No","Yes","No","Yes","Yes","Yes","No","Yes","144","0","55442","Flexible"
"Test","https://www.airbnb.com/rooms/1264507498594535544","1264507498594535544","0-0","0","N/A","0","24","N/A","N/A","None","1","Individual","2.0","4","144","Entire rental unit","No","N/A","8","N/A","0","No","Yes","No","Yes","Yes","No","No","Yes","N/A","0","280987995","Flexible"
"Entire Upscale 2-Bedroom Condo In Downtown","https://www.airbnb.com/rooms/1538549509260747438","1538549509260747438","0-0","0","N/A","0","57","N/A","N/A","None","28","Small","1.0","5","216","Entire rental unit","Yes","N/A","17","N/A","0","No","No","No","Yes","No","Yes","No","Yes","N/A","0","419269665","Flexible"
"Modern & Stylish Entire Unit In Downtown Toronto","https://www.airbnb.com/rooms/1584319229729254718","1584319229729254718","0-0","0","N/A","0","25","N/A","N/A","None","28","Individual","1.0","2","131","Entire rental unit","Yes","N/A","0","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","713161419","Firm"
"LOVELY Family Size 2 Bedroom 2 Bath Near Hospitals","https://www.airbnb.com/rooms/608508704887158854","608508704887158854","0-0","0","N/A","0","95","N/A","N/A","None","28","Moderate","2.0","6","391","Entire condo","No","N/A","27","5","1","No","Yes","No","Yes","Yes","Yes","No","Yes","184","0","55442","Flexible"
"Furnished 2 Bed Or 1 Bed 1 Office 2 Bath Condo","https://www.airbnb.com/rooms/48770073","48770073","0-0","0","N/A","0","18","N/A","N/A","None","180","Individual","2.0","4","285","Entire condo","Yes","N/A","348","0","0","No","Yes","No","Yes","No","No","No","Yes","0.0","0","211748247","Firm"
"Cozy Modern Two Bedroom Suite Heart Of Downtown","https://www.airbnb.com/rooms/698423617477839123","698423617477839123","0-0","0","N/A","0","365","N/A","N/A","None","28","Small","1.0","4","244","Entire rental unit","Yes","N/A","1","4.75","4","No","No","No","Yes","No","No","No","Yes","0.0","0","414586142","Flexible"
"Luxury 2-Bedroom On King West!","https://www.airbnb.com/rooms/899219288524097406","899219288524097406","0-0","0","N/A","0","280","N/A","N/A","None","28","Individual","2.0","4","2945","Entire rental unit","Yes","N/A","86","0","0","No","No","No","Yes","No","No","No","Yes","0.0","0","45939753","Firm"
"Comfortable 2BR Downtown Suite | Ideal For Monthly","https://www.airbnb.com/rooms/1586474683097737557","1586474683097737557","0-0","0","N/A","0","25","N/A","N/A","None","29","Moderate","1.0","4","209","Entire rental unit","Yes","N/A","0","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","79337978","Flexible"
"Luxury 1100 Sq Condo At Centre Of Downtown Toronto","https://www.airbnb.com/rooms/1509692475898016309","1509692475898016309","0-0","0","N/A","0","77","N/A","N/A","None","28","Small","1.0","4","173","Entire rental unit","Yes","N/A","56","N/A","0","No","No","No","Yes","No","No","No","Yes","142.0","0","718856755","Flexible"
"Luxury Student Apartment Toronto","https://www.airbnb.com/rooms/866012761316987807","866012761316987807","0-0","0","N/A","0","86","N/A","N/A","None","28","Small","1.0","4","501","Entire rental unit","No","N/A","1","4.7","0","No","No","No","Yes","No","No","No","Yes","","0","208955651","Flexible"
"Comfortable & Stylish 2BD Home","https://www.airbnb.com/rooms/628884540034334529","628884540034334529","0-0","0","N/A","0","14","N/A","N/A","Low","29","Individual","1.5","4","301","Entire home","Yes","N/A","51","5","1","No","No","No","Yes","No","Yes","No","No","184","0","4450262","Firm"
"Bisha Hotel Residences – 2BR/2BA Luxury Suite","https://www.airbnb.com/rooms/801696235750243670","801696235750243670","0-0","0","N/A","0","263","N/A","N/A","Moderate","90","Small","2.0","4","290","Entire condo","Yes","N/A","103","4.47","0","No","No","No","Yes","Yes","No","No","Yes","129.0","0","429428276","Flexible"
"Cozy Suite In Heart Of Downtown Toronto","https://www.airbnb.com/rooms/1553831956634264644","1553831956634264644","0-0","0","N/A","0","38","N/A","N/A","None","2","Small","1.0","4","278","Entire rental unit","Yes","N/A","3","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","548840838","Limited"
"2 Bedroom 2 Bathroom In Downtown Long Term Avail","https://www.airbnb.com/rooms/900187306565692038","900187306565692038","0-0","0","N/A","0","252","N/A","N/A","Low","28","Small","2.0","4","246","Entire rental unit","Yes","N/A","114","5","1","No","No","No","Yes","No","Yes","No","Yes","107.0","0","34106626","Firm"
"Work From Home Bay St 2 BDRM 2 BALCONIES SLEEPS 6","https://www.airbnb.com/rooms/43158241","43158241","0-0","0","N/A","0","133","N/A","N/A","None","28","Moderate","2.0","6","275","Entire condo","No","N/A","7","5","2","No","Yes","No","Yes","Yes","Yes","No","Yes","183","0","55442","Firm"
"2 Bed 2 Bath Luxury Condo Downtown Toronto","https://www.airbnb.com/rooms/799338047507944127","799338047507944127","0-0","0","N/A","0","37","N/A","N/A","None","28","Individual","2.0","4","358","Entire condo","Yes","N/A","329","5","19","No","No","No","Yes","No","No","No","Yes","143.0","1","222197168","Moderate"
"Luxury 2BR Downtown Living","https://www.airbnb.com/rooms/1486933627577345162","1486933627577345162","0-0","0","N/A","0","51","N/A","N/A","High","28","Moderate","2.0","4","243","Entire rental unit","Yes","N/A","114","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","5988339","Flexible"
"Premium Downtown 2-Bedroom Suite","https://www.airbnb.com/rooms/1486937256399955582","1486937256399955582","0-0","0","N/A","0","50","N/A","N/A","Moderate","28","Moderate","2.0","4","241","Entire rental unit","Yes","N/A","115","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","5988339","Flexible"
"Sophisticated 2BR Urban Retreat","https://www.airbnb.com/rooms/1486939922294781522","1486939922294781522","0-0","0","N/A","0","49","N/A","N/A","Moderate","28","Moderate","2.0","4","243","Entire rental unit","Yes","N/A","116","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","5988339","Flexible"
"2 Br Condo","https://www.airbnb.com/rooms/1493540736519655610","1493540736519655610","0-0","0","N/A","0","156","N/A","N/A","None","28","Individual","2.0","6","1026","Entire rental unit","Yes","N/A","0","N/A","0","No","No","No","No","No","No","No","No","N/A","0","475180233","Flexible"
"Prestige 2 Bedroom Downtown","https://www.airbnb.com/rooms/1496342668059723782","1496342668059723782","0-0","0","N/A","0","59","N/A","N/A","High","30","Moderate","2.0","4","243","Entire rental unit","Yes","N/A","87","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","5988339","Flexible"
"Chic 2bed 1 Bath Apartment","https://www.airbnb.com/rooms/1460935518368563040","1460935518368563040","0-0","0","N/A","0","200","N/A","N/A","None","28","Small","1.0","4","224","Entire rental unit","Yes","N/A","0","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","417412345","Flexible"
"@ Stylish Condo Downtown Toronto | Walk Everywhere","https://www.airbnb.com/rooms/1554349976554108721","1554349976554108721","86-115","100","100.49","3","37","26","1","None","30","Small","1.0","4","115","Entire condo","Yes","Midscale","34","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","230031719","Firm"
"Prime Spot In Downtown Toronto","https://www.airbnb.com/rooms/1182602667901313516","1182602667901313516","151-202","181","180.78","1","75","44","1","Low","28","Individual","1.0","4","258","Entire rental unit","Yes","Midscale","141","4.38","8","No","No","No","Yes","No","No","No","Yes","36.0","0","41883451","Flexible"
"Lovely Apartment In Center Downtown Toronto","https://www.airbnb.com/rooms/911442594724405275","911442594724405275","225-349","293","73.13","6","63","1","4","None","28","Small","1.0","2","46","Entire condo","Yes","Economy","226","4.5","2","No","No","No","Yes","No","No","No","No","143.0","0","360573680","Strict"
"Modern 2BR | Prime TO Location","https://www.airbnb.com/rooms/1450089414322054961","1450089414322054961","258-383","323","161.61","7","27","17","1","Unknown","28","Unknown","2.0","4","193","Entire rental unit","No","Midscale","27","N/A","0","No","No","No","No","No","No","No","No","N/A","0","124898368","Flexible"
"Premium 2BR Living Downtown","https://www.airbnb.com/rooms/1461709719259828010","1461709719259828010","555-736","645","214.95","4","85","15","3","None","30","Moderate","2.0","4","244","Entire rental unit","Yes","Midscale","114","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","5988339","Flexible"
"Bespoke 2BR Suite Core Entertainment District","https://www.airbnb.com/rooms/1558751982922967341","1558751982922967341","584-775","679","226.31","13","24","10","3","High","2","Individual","1.0","4","268","Entire rental unit","Yes","Midscale","31","N/A","0","No","No","No","Yes","No","No","No","Yes","N/A","0","727337732","Firm"
"Bespoke 2BR With Study Entertainment District","https://www.airbnb.com/rooms/1579097328399636616","1579097328399636616","676-1029","883","294.36","30","10","3","2","High","1","Individual","2.0","4","275","Entire rental unit","Yes","Midscale","15","3","2","No","No","No","Yes","No","No","No","Yes","N/A","0","407313256","Firm"
"MASSIVE 2 Bedroom Bay Street Condo. Free Parking.","https://www.airbnb.com/rooms/616862515353383734","616862515353383734","1264-1681","1479","246.51","6","104","23","6","None","28","Moderate","2.0","6","284","Entire condo","No","Midscale","20","5","1","No","Yes","No","Yes","Yes","Yes","No","Yes","183","0","55442","Flexible"
