Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Victorian 3-Bedroom Home In Trendy Dundas West","https://www.airbnb.com/rooms/689035932527864106","689035932527864106","0-0","N/A","N/A","0","57","N/A","N/A","None","28","Moderate","2.0","6","265","Entire home","Yes","N/A","309","5","2","No","No","No","Yes","No","No","No","Yes","107","N/A","85109485","Firm"
"Charming Home In The Heart Of Toronto","https://www.airbnb.com/rooms/1440680002460140277","1440680002460140277","0-0","N/A","N/A","0","174","N/A","N/A","None","28","Individual","1.5","4","237","Entire home","Yes","N/A","97","N/A","N/A","No","No","No","Yes","No","No","No","Yes","178","N/A","7895355","Firm"
"Windows Galore In Modern Apartment Near Waterfront","https://www.airbnb.com/rooms/17940579","17940579","0-0","N/A","N/A","0","193","N/A","N/A","None","30","Individual","3.0","6","992","Entire condo","Yes","N/A","173","5","10","No","No","No","Yes","No","No","No","Yes","250","N/A","123069773","Firm"
"Elegant Home - Modern & Spacious","https://www.airbnb.com/rooms/1029235174552271728","1029235174552271728","0-0","N/A","N/A","0","274","N/A","N/A","High","28","Small","2.5","6","199","Entire home","Yes","N/A","92","N/A","N/A","No","No","No","Yes","No","No","No","Yes","108","N/A","14138955","Flexible"
"Chic Urban Stay, Perfect For Work Or Play!","https://www.airbnb.com/rooms/1521250027691482829","1521250027691482829","0-0","N/A","N/A","0","132","N/A","N/A","None","28","Individual","3.0","6","601","Entire rental unit","Yes","N/A","10","N/A","N/A","No","Yes","Yes","Yes","Yes","No","No","Yes","N/A","N/A","275659212","Flexible"
"Cheerful 3-bedroom Residential Home With Patio","https://www.airbnb.com/rooms/52885054","52885054","0-0","N/A","N/A","0","206","N/A","N/A","None","28","Individual","2.0","6","311","Entire home","Yes","N/A","160","1","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","10001608","Firm"
"3 Bdrm Apt In Ossington Village","https://www.airbnb.com/rooms/1116025452241874792","1116025452241874792","0-0","N/A","N/A","0","40","N/A","N/A","None","28","Small","1.0","5","270","Entire rental unit","Yes","N/A","326","4.33","12","No","No","No","Yes","No","No","No","Yes","N/A","N/A","21967749","Flexible"
"Stunning Sun-Filled Home + Lakeview + Free Parking","https://www.airbnb.com/rooms/1118203281526129897","1118203281526129897","0-0","N/A","N/A","0","202","N/A","N/A","None","90","Individual","2.0","5","265","Entire condo","Yes","N/A","164","N/A","N/A","No","No","No","Yes","No","No","No","Yes","250","N/A","568109407","Firm"
"Stunning 3 Bedroom 2 Bathroom House","https://www.airbnb.com/rooms/9564312","9564312","0-0","N/A","N/A","0","23","N/A","N/A","None","30","Individual","2.0","4","192","Entire townhouse","No","N/A","12","5","3","No","No","No","Yes","No","No","No","Yes","110","N/A","49517002","Firm"
"Victorian House In Vibrant Queen West","https://www.airbnb.com/rooms/1132326747442117297","1132326747442117297","0-0","N/A","N/A","0","24","N/A","N/A","None","1","Small","1.5","4","192","Entire home","No","N/A","76","4.8","5","No","No","No","Yes","No","No","No","Yes","143","N/A","6814539","Strict"
